address,status__name,namespace__name,type,dns_name,tenant__name
10.40.0.0/24,Active,Global,host,ip-10-40-192-0.p2p.lax03.fb.nautobot.com,Nautobot Football Stadiums
10.40.0.1/24,Active,Global,host,ip-10-40-192-1.p2p.lax03.fb.nautobot.com,Nautobot Football Stadiums
10.40.0.2/24,Active,Global,host,ip-10-40-192-2.p2p.lax03.fb.nautobot.com,Nautobot Football Stadiums
10.40.0.3/24,Active,Global,host,ip-10-40-192-3.p2p.lax03.fb.nautobot.com,Nautobot Football Stadiums
10.40.0.4/24,Active,Global,host,ip-10-40-192-4.p2p.lax03.fb.nautobot.com,Nautobot Football Stadiums
10.40.0.5/24,Active,Global,host,ip-10-40-192-5.p2p.lax03.fb.nautobot.com,Nautobot Football Stadiums
10.40.0.6/24,Active,Global,host,ip-10-40-192-6.p2p.lax03.fb.nautobot.com,Nautobot Football Stadiums
10.40.0.7/24,Active,Global,host,ip-10-40-192-7.p2p.lax03.fb.nautobot.com,Nautobot Football Stadiums
10.40.0.8/24,Active,Global,host,ip-10-40-192-8.p2p.lax03.fb.nautobot.com,Nautobot Football Stadiums
10.40.0.9/24,Active,Global,host,ip-10-40-192-9.p2p.lax03.fb.nautobot.com,Nautobot Football Stadiums
10.40.0.10/24,Active,Global,host,ip-10-40-192-10.p2p.lax03.fb.nautobot.com,Nautobot Football Stadiums
10.40.0.11/24,Active,Global,host,ip-10-40-192-11.p2p.lax03.fb.nautobot.com,Nautobot Football Stadiums
10.40.0.12/24,Active,Global,host,ip-10-40-192-12.p2p.lax03.fb.nautobot.com,Nautobot Football Stadiums
10.40.0.13/24,Active,Global,host,ip-10-40-192-13.p2p.lax03.fb.nautobot.com,Nautobot Football Stadiums
10.40.0.14/24,Active,Global,host,ip-10-40-192-14.p2p.lax03.fb.nautobot.com,Nautobot Football Stadiums
10.40.0.15/24,Active,Global,host,ip-10-40-192-15.p2p.lax03.fb.nautobot.com,Nautobot Football Stadiums
10.40.0.16/24,Active,Global,host,ip-10-40-192-16.p2p.lax03.fb.nautobot.com,Nautobot Football Stadiums
10.40.0.17/24,Active,Global,host,ip-10-40-192-17.p2p.lax03.fb.nautobot.com,Nautobot Football Stadiums
10.40.0.18/24,Active,Global,host,ip-10-40-192-18.p2p.lax03.fb.nautobot.com,Nautobot Football Stadiums
10.40.0.19/24,Active,Global,host,ip-10-40-192-19.p2p.lax03.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.0/24,Active,Global,host,ip-10-41-192-0.p2p.aus01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.1/24,Active,Global,host,ip-10-41-192-1.p2p.aus01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.2/24,Active,Global,host,ip-10-41-192-2.p2p.aus01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.3/24,Active,Global,host,ip-10-41-192-3.p2p.aus01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.4/24,Active,Global,host,ip-10-41-192-4.p2p.aus01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.5/24,Active,Global,host,ip-10-41-192-5.p2p.aus01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.6/24,Active,Global,host,ip-10-41-192-6.p2p.aus01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.7/24,Active,Global,host,ip-10-41-192-7.p2p.aus01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.8/24,Active,Global,host,ip-10-41-192-8.p2p.aus01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.9/24,Active,Global,host,ip-10-41-192-9.p2p.aus01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.10/24,Active,Global,host,ip-10-41-192-10.p2p.aus01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.11/24,Active,Global,host,ip-10-41-192-11.p2p.aus01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.12/24,Active,Global,host,ip-10-41-192-12.p2p.aus01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.13/24,Active,Global,host,ip-10-41-192-13.p2p.aus01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.14/24,Active,Global,host,ip-10-41-192-14.p2p.aus01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.15/24,Active,Global,host,ip-10-41-192-15.p2p.aus01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.16/24,Active,Global,host,ip-10-41-192-16.p2p.aus01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.17/24,Active,Global,host,ip-10-41-192-17.p2p.aus01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.18/24,Active,Global,host,ip-10-41-192-18.p2p.aus01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.19/24,Active,Global,host,ip-10-41-192-19.p2p.aus01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.20/24,Active,Global,host,ip-10-42-192-0.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.21/24,Active,Global,host,ip-10-42-192-1.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.22/24,Active,Global,host,ip-10-42-192-2.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.23/24,Active,Global,host,ip-10-42-192-3.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.24/24,Active,Global,host,ip-10-42-192-4.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.25/24,Active,Global,host,ip-10-42-192-5.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.26/24,Active,Global,host,ip-10-42-192-6.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.27/24,Active,Global,host,ip-10-42-192-7.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.28/24,Active,Global,host,ip-10-42-192-8.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.29/24,Active,Global,host,ip-10-42-192-9.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.30/24,Active,Global,host,ip-10-42-192-10.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.31/24,Active,Global,host,ip-10-42-192-11.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.32/24,Active,Global,host,ip-10-42-192-12.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.33/24,Active,Global,host,ip-10-42-192-13.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.34/24,Active,Global,host,ip-10-42-192-14.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.41.0.35/24,Active,Global,host,ip-10-42-192-15.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.42.0.0/24,Active,Global,host,ip-10-42-192-16.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.42.0.1/24,Active,Global,host,ip-10-42-192-17.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.42.0.2/24,Active,Global,host,ip-10-42-192-18.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.42.0.3/24,Active,Global,host,ip-10-42-192-19.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.42.0.4/24,Active,Global,host,ip-10-42-192-20.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.42.0.5/24,Active,Global,host,ip-10-42-192-21.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.42.0.6/24,Active,Global,host,ip-10-42-192-22.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.42.0.7/24,Active,Global,host,ip-10-42-192-23.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.42.0.8/24,Active,Global,host,ip-10-42-192-24.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.42.0.9/24,Active,Global,host,ip-10-42-192-25.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.42.0.10/24,Active,Global,host,ip-10-42-192-26.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.42.0.11/24,Active,Global,host,ip-10-42-192-27.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.42.0.12/24,Active,Global,host,ip-10-42-192-28.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.42.0.13/24,Active,Global,host,ip-10-42-192-29.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.42.0.14/24,Active,Global,host,ip-10-42-192-30.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
10.42.0.15/24,Active,Global,host,ip-10-42-192-31.p2p.mad01.fb.nautobot.com,Nautobot Football Stadiums
